loop,f1_score_1,SFS,num selected features,feature idx,n_neighbors
1,0.947008547008547,SFS,5,"(0, 1, 3, 4, 7)",6
2,0.8890968801313628,SFS,5,"(1, 2, 3, 4, 7)",1
3,0.947008547008547,SFS,5,"(0, 1, 2, 3, 7)",7
4,0.9401709401709402,SFS,6,"(0, 1, 2, 3, 6, 7)",8
5,0.9417035072207487,SFS,6,"(0, 1, 2, 3, 5, 6)",4
6,0.947008547008547,SFS,2,"(4, 7)",5
7,0.947008547008547,SFS,2,"(0, 7)",7
8,0.887192118226601,SFS,2,"(3, 4)",1
9,0.9481074481074481,SFS,4,"(0, 1, 2, 3)",4
10,0.9417035072207487,SFS,2,"(0, 7)",3
11,0.9269434269434269,SFS,2,"(0, 7)",9
12,0.8767159277504104,SFS,3,"(0, 1, 7)",2
13,0.9383931623931623,SFS,6,"(0, 1, 2, 3, 4, 7)",6
14,0.947008547008547,SFS,3,"(1, 4, 7)",5
15,0.8890968801313628,SFS,5,"(1, 2, 3, 4, 7)",1
16,0.947008547008547,SFS,3,"(0, 3, 7)",6
17,0.9417035072207487,SFS,2,"(0, 7)",3
18,0.9481074481074481,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",3
19,0.6666666666666666,SFS,1,"(7,)",2
20,0.947008547008547,SFS,5,"(0, 1, 2, 3, 7)",7
