loop,precision_15,SFS,num selected features,feature idx,n_neighbors
1,0.9733333333333334,SFS,6,"(0, 1, 2, 4, 5, 6)",1
2,0.9675324675324676,SFS,5,"(0, 2, 3, 4, 5)",8
3,0.20309056956115779,SBS,1,"(4,)",9
4,0.9857142857142858,SBS,6,"(0, 1, 2, 3, 4, 7)",5
5,0.9436630036630037,SFS,2,"(4, 5)",8
6,0.9323809523809524,SBS,2,"(4, 5)",4
7,0.9833333333333334,SBS,2,"(3, 4)",6
8,0.975,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",1
9,0.96,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",4
10,1.0,SBS,5,"(0, 1, 2, 3, 4)",5
11,0.9366666666666668,SFS,3,"(4, 5, 6)",1
12,0.9625,SFS,5,"(0, 1, 3, 4, 6)",3
13,0.9625,SFS,5,"(0, 2, 4, 5, 7)",4
14,0.9482142857142858,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",3
15,1.0,SBS,5,"(0, 1, 3, 4, 6)",8
16,0.9866666666666667,SBS,5,"(1, 3, 4, 6, 7)",7
17,0.9857142857142858,SFS,3,"(3, 4, 6)",5
18,0.9733333333333334,SFS,6,"(0, 1, 2, 4, 5, 6)",1
19,0.7256349206349207,SFS,2,"(2, 3)",2
20,0.9857142857142858,SBS,2,"(3, 4)",9
