loop,recall_4,SFS,num selected features,feature idx,n_neighbors
1,0.8857142857142858,SFS,5,"(0, 3, 4, 5, 7)",5
2,1.0,SFS,1,"(4,)",1
3,0.9,SFS,6,"(0, 1, 3, 4, 5, 7)",4
4,1.0,SFS,3,"(4, 5, 7)",1
5,1.0,SFS,2,"(4, 5)",1
6,1.0,SFS,1,"(4,)",9
7,0.9857142857142858,SFS,4,"(3, 4, 5, 7)",2
8,0.8714285714285716,SFS,6,"(0, 3, 4, 5, 6, 7)",5
9,1.0,SFS,3,"(4, 5, 7)",7
10,1.0,SFS,1,"(4,)",2
11,1.0,SFS,2,"(4, 5)",4
12,0.8714285714285716,SFS,6,"(0, 3, 4, 5, 6, 7)",7
13,0.8714285714285716,SFS,6,"(0, 3, 4, 5, 6, 7)",7
14,0.8857142857142858,SFS,6,"(0, 2, 3, 4, 5, 7)",3
15,0.8571428571428573,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",6
16,0.9428571428571428,SFS,5,"(0, 3, 4, 5, 7)",8
17,0.9714285714285715,SFS,4,"(3, 4, 5, 7)",4
18,0.9857142857142858,SFS,4,"(3, 4, 5, 7)",1
19,1.0,SFS,3,"(4, 5, 7)",7
20,0.9714285714285715,SFS,3,"(3, 4, 5)",6
