loop,precision_14,SFS,num selected features,feature idx,n_neighbors
1,0.9211954711954713,SFS,6,"(1, 2, 3, 5, 6, 7)",2
2,0.8436363636363637,SFS,5,"(0, 1, 2, 4, 6)",5
3,0.9062004662004662,SFS,6,"(0, 1, 2, 3, 4, 5)",3
4,0.819059829059829,SFS,3,"(2, 5, 7)",1
5,0.9013786213786215,SFS,4,"(0, 1, 4, 5)",8
6,0.9003996003996004,SFS,3,"(0, 4, 5)",4
7,0.8882539682539683,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",3
8,0.3773304473304474,SFS,1,"(4,)",7
9,0.895064935064935,SFS,5,"(1, 2, 5, 6, 7)",2
10,0.9003996003996004,SFS,4,"(0, 1, 4, 5)",4
11,0.5771428571428572,SFS,1,"(2,)",2
12,0.8941991341991342,SFS,4,"(1, 4, 5, 6)",7
13,0.8436363636363637,SFS,5,"(0, 1, 2, 4, 6)",5
14,0.9013786213786215,SFS,3,"(0, 4, 5)",8
15,0.8564060939060939,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
16,0.8366080977845683,SFS,2,"(4, 5)",9
17,0.4052059052059052,SFS,1,"(4,)",9
18,0.8404607157548334,SFS,2,"(4, 5)",4
19,0.819059829059829,SFS,3,"(2, 5, 7)",1
20,0.8807142857142857,SFS,5,"(1, 2, 3, 4, 6)",6
