loop,f1_score_17,SFS,num selected features,feature idx,n_neighbors
1,0.9856960408684546,SFS,6,"(0, 1, 4, 5, 6, 7)",3
2,0.9777188328912467,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",2
3,0.9862068965517242,SFS,3,"(4, 5, 7)",3
4,0.9856960408684546,SFS,6,"(0, 1, 3, 4, 5, 7)",4
5,0.9787994891443168,SFS,5,"(0, 4, 5, 6, 7)",7
6,0.9787994891443168,SFS,5,"(0, 3, 4, 5, 7)",9
7,0.9793103448275863,SFS,3,"(4, 5, 7)",9
8,0.8229856988477678,SFS,1,"(7,)",3
9,0.993103448275862,SFS,3,"(4, 5, 7)",4
10,0.9856960408684546,SFS,6,"(0, 2, 3, 4, 5, 7)",6
11,0.9856960408684546,SFS,4,"(4, 5, 6, 7)",1
12,0.9856960408684546,SFS,5,"(0, 4, 5, 6, 7)",3
13,0.9862068965517242,SFS,2,"(4, 7)",3
14,0.9793103448275863,SFS,3,"(4, 5, 7)",5
15,0.9862068965517242,SFS,2,"(4, 7)",3
16,0.9634148737597015,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",7
17,0.7308812765334505,SFS,1,"(7,)",2
18,0.993103448275862,SFS,5,"(0, 4, 5, 6, 7)",5
19,0.8395755968169762,SFS,1,"(7,)",8
20,0.9787994891443168,SFS,2,"(5, 7)",7
