loop,f1_score_13,SFS,num selected features,feature idx,n_neighbors
1,0.9406006674082313,SFS,6,"(0, 1, 2, 3, 6, 7)",8
2,0.9535187245087133,SFS,5,"(1, 2, 3, 6, 7)",8
3,0.9862068965517242,SFS,4,"(1, 3, 5, 6)",2
4,0.9737486095661847,SFS,3,"(1, 3, 6)",9
5,0.9862068965517242,SFS,2,"(5, 6)",1
6,0.9737486095661847,SFS,2,"(3, 6)",9
7,0.7553693225626608,SFS,1,"(6,)",6
8,0.9862068965517242,SFS,5,"(0, 1, 3, 5, 6)",1
9,0.792314543645813,SFS,1,"(6,)",7
10,0.7580685118997813,SFS,1,"(6,)",5
11,0.7580685118997813,SFS,1,"(6,)",5
12,0.9737486095661847,SFS,2,"(3, 6)",9
13,0.6801451069838167,SFS,1,"(6,)",3
14,0.7553693225626608,SFS,1,"(6,)",6
15,0.9737486095661847,SFS,3,"(1, 3, 6)",9
16,0.792314543645813,SFS,1,"(6,)",8
17,0.9862068965517242,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",2
18,0.9659770114942529,SFS,6,"(0, 1, 2, 3, 5, 6)",7
19,0.9793103448275863,SFS,4,"(1, 3, 5, 6)",6
20,0.9862068965517242,SFS,3,"(3, 4, 6)",5
