loop,precision_1,SFS,num selected features,feature idx,n_neighbors
1,0.39176470588235296,SFS,1,"(3,)",3
2,0.8562680456798104,SFS,3,"(3, 4, 7)",1
3,0.956043956043956,SFS,5,"(0, 1, 3, 4, 6)",8
4,0.9428571428571428,SFS,3,"(4, 5, 6)",9
5,0.9692307692307693,SFS,2,"(4, 5)",7
6,0.956043956043956,SFS,6,"(0, 1, 2, 3, 4, 6)",8
7,0.9714285714285715,SFS,3,"(0, 1, 3)",4
8,0.956043956043956,SFS,3,"(3, 4, 6)",8
9,0.9714285714285715,SFS,6,"(0, 1, 2, 3, 4, 5)",3
10,0.9714285714285715,SFS,5,"(0, 1, 2, 4, 5)",6
11,0.9714285714285715,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
12,0.8549859943977591,SFS,2,"(4, 7)",1
13,0.9714285714285715,SFS,3,"(0, 1, 3)",4
14,1.0,SFS,3,"(0, 4, 5)",5
15,0.6602443609022557,SFS,2,"(1, 6)",2
16,0.513986013986014,SFS,1,"(4,)",1
17,0.9714285714285715,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
18,0.9714285714285715,SFS,5,"(0, 1, 2, 4, 5)",6
19,0.5455128205128206,SFS,1,"(4,)",9
20,0.4980952380952381,SFS,1,"(3,)",4
