loop,precision_13,SFS,num selected features,feature idx,n_neighbors
1,0.9866666666666667,SFS,4,"(0, 1, 5, 6)",1
2,0.9483333333333335,SFS,6,"(0, 1, 2, 3, 5, 6)",4
3,0.9483333333333335,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",5
4,0.9866666666666667,SFS,4,"(1, 2, 3, 6)",2
5,0.9733333333333334,SFS,2,"(6, 7)",7
6,0.9616666666666667,SFS,2,"(6, 7)",5
7,0.9616666666666667,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
8,0.9733333333333334,SFS,2,"(3, 6)",3
9,0.9733333333333334,SFS,2,"(3, 6)",3
10,0.9483333333333335,SFS,6,"(0, 1, 2, 5, 6, 7)",5
11,0.916078431372549,SFS,4,"(0, 1, 6, 7)",8
12,0.6223337493932459,SFS,1,"(6,)",7
13,0.9616666666666667,SFS,2,"(6, 7)",5
14,0.9483333333333335,SFS,5,"(0, 1, 5, 6, 7)",7
15,0.86859477124183,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",9
16,0.617072463768116,SFS,1,"(6,)",9
17,0.9616666666666667,SFS,5,"(1, 2, 3, 5, 6)",4
18,0.9483333333333335,SFS,6,"(1, 2, 3, 5, 6, 7)",6
19,0.9616666666666667,SFS,4,"(1, 2, 3, 6)",4
20,0.617072463768116,SFS,1,"(6,)",9
