loop,recall_16,SFS,num selected features,feature idx,n_neighbors
1,0.6571428571428573,SFS,4,"(0, 1, 4, 6)",2
2,0.5428571428571429,SFS,1,"(5,)",6
3,0.6428571428571428,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",7
4,0.7,SFS,3,"(0, 1, 5)",5
5,0.8142857142857143,SFS,2,"(1, 5)",5
6,0.7142857142857142,SFS,3,"(0, 1, 5)",3
7,0.7,SFS,3,"(0, 4, 6)",4
8,0.8,SFS,4,"(0, 1, 2, 5)",1
9,0.8142857142857143,SFS,2,"(1, 5)",7
10,0.6142857142857142,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",9
11,0.7,SFS,5,"(0, 1, 2, 4, 6)",4
12,0.5428571428571429,SFS,1,"(5,)",8
13,0.6571428571428571,SFS,5,"(0, 1, 2, 5, 7)",3
14,0.8714285714285713,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
15,0.5285714285714286,SFS,1,"(5,)",3
16,0.9,SFS,2,"(1, 5)",1
17,0.6142857142857142,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",9
18,0.5999999999999999,SFS,3,"(1, 3, 5)",8
19,0.7,SFS,5,"(0, 1, 2, 4, 6)",4
20,0.7428571428571429,SFS,6,"(0, 1, 3, 4, 5, 6)",2
