loop,recall_13,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,3,"(0, 1, 6)",5
2,1.0,SFS,3,"(0, 1, 6)",8
3,1.0,SFS,2,"(0, 6)",5
4,0.6571428571428571,SFS,1,"(6,)",2
5,1.0,SFS,5,"(0, 1, 2, 4, 6)",4
6,1.0,SFS,3,"(1, 2, 6)",4
7,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
8,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",5
9,1.0,SFS,5,"(0, 1, 2, 4, 6)",1
10,1.0,SFS,2,"(0, 6)",1
11,1.0,SFS,5,"(0, 1, 2, 3, 6)",8
12,1.0,SFS,4,"(0, 1, 2, 6)",8
13,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",1
14,0.9428571428571428,SFS,1,"(6,)",8
15,1.0,SFS,4,"(0, 1, 5, 6)",3
16,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
17,1.0,SFS,4,"(1, 2, 4, 6)",4
18,1.0,SFS,2,"(2, 6)",4
19,1.0,SFS,5,"(0, 1, 2, 5, 6)",3
20,1.0,SFS,2,"(5, 6)",3
