loop,precision_17,SFS,num selected features,feature idx,n_neighbors
1,0.9733333333333334,SBS,4,"(0, 2, 3, 4)",3
2,0.9466666666666667,SBS,2,"(3, 4)",8
3,0.9857142857142858,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",6
4,0.9723809523809525,SBS,6,"(0, 1, 2, 3, 4, 7)",5
5,0.96,SFS,4,"(2, 4, 5, 7)",7
6,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",2
7,0.9733333333333334,SFS,2,"(5, 7)",6
8,0.9733333333333334,SFS,3,"(0, 4, 7)",4
9,0.9703296703296704,SFS,5,"(0, 1, 4, 5, 7)",8
10,0.9866666666666667,SBS,6,"(0, 1, 2, 3, 4, 5)",1
11,0.9723809523809525,SBS,7,"(0, 1, 2, 3, 4, 5, 6)",3
12,0.9857142857142858,SBS,7,"(0, 1, 2, 4, 5, 6, 7)",6
13,0.9733333333333334,SFS,4,"(0, 2, 4, 7)",4
14,0.5638095238095239,SBS,1,"(1,)",2
15,0.9723809523809525,SFS,5,"(0, 1, 2, 4, 7)",5
16,0.9857142857142858,SBS,4,"(0, 1, 2, 7)",5
17,0.8434054834054834,SFS,1,"(7,)",8
18,0.9733333333333334,SBS,3,"(2, 3, 4)",4
19,0.9857142857142858,SFS,4,"(0, 1, 2, 7)",5
20,0.9733333333333334,SFS,2,"(5, 7)",8
