loop,f1_score_macro,SFS,num selected features,feature idx,n_neighbors
1,0.7812611449316712,SBS,6,"(2, 3, 4, 5, 6, 7)",4
2,0.7674579811212571,SFS,2,"(0, 4)",1
3,0.7534481681006128,SBS,3,"(2, 4, 5)",7
4,0.7674579811212571,SFS,2,"(0, 4)",1
5,0.735007199040927,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",9
6,0.7972017478189143,SFS,3,"(0, 4, 7)",2
7,0.749540798847207,SFS,4,"(0, 4, 5, 6)",8
8,0.7719655374116137,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
9,0.3219598286934085,SBS,1,"(5,)",8
10,0.7947304832400658,SBS,2,"(4, 5)",4
11,0.7499691636665982,SBS,4,"(2, 3, 4, 5)",9
12,0.8119022875772451,SFS,5,"(0, 3, 4, 5, 7)",2
13,0.7631744100577001,SBS,3,"(0, 4, 7)",6
14,0.7394221990278157,SBS,2,"(3, 4)",5
15,0.8079890665007783,SFS,4,"(0, 3, 4, 5)",3
16,0.8142480293789897,SBS,6,"(2, 3, 4, 5, 6, 7)",2
17,0.7336563046940209,SBS,2,"(4, 5)",9
18,0.6954533999888931,SFS,2,"(0, 4)",8
19,0.7631744100577001,SBS,3,"(0, 4, 7)",6
20,0.384917598954417,SFS,1,"(0,)",9
