loop,f1_score_13,SFS,num selected features,feature idx,n_neighbors
1,0.9728735632183909,SFS,3,"(1, 3, 6)",4
2,0.9728735632183909,SFS,5,"(0, 1, 3, 5, 6)",2
3,0.953103448275862,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",3
4,0.9414367816091953,SFS,6,"(0, 1, 2, 3, 6, 7)",5
5,0.6038576758576759,SFS,1,"(6,)",2
6,0.9612068965517242,SFS,4,"(0, 1, 3, 6)",7
7,0.9664367816091953,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",2
8,0.9793103448275863,SFS,3,"(3, 5, 6)",2
9,0.9728735632183909,SFS,5,"(0, 1, 3, 5, 6)",2
10,0.9728735632183909,SFS,2,"(3, 6)",3
11,0.9474972191323694,SFS,6,"(0, 1, 2, 3, 5, 6)",7
12,0.9220819428995182,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",7
13,0.9547701149425286,SFS,5,"(0, 1, 2, 3, 6)",8
14,0.9728735632183909,SFS,4,"(1, 3, 6, 7)",3
15,0.965977011494253,SFS,3,"(1, 3, 6)",7
16,0.9728735632183909,SFS,2,"(3, 6)",5
17,0.8979569892473119,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",9
18,0.9793103448275863,SFS,4,"(1, 3, 5, 6)",2
19,0.9164367816091955,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",8
20,0.9612068965517242,SFS,4,"(0, 1, 3, 6)",8
