loop,precision_2,SFS,num selected features,feature idx,n_neighbors
1,0.5886111111111111,SFS,5,"(0, 2, 4, 5, 6)",9
2,0.7471428571428572,SFS,2,"(0, 4)",7
3,0.5548872180451128,SFS,4,"(0, 3, 4, 6)",8
4,0.6714285714285714,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
5,0.5969155844155843,SFS,3,"(0, 3, 4)",8
6,0.6138461538461539,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
7,0.7231178625296273,SFS,2,"(0, 4)",6
8,0.7471428571428572,SFS,2,"(0, 4)",7
9,0.7721719457013574,SFS,6,"(0, 2, 3, 4, 5, 7)",1
10,0.838937728937729,SFS,4,"(0, 4, 5, 7)",1
11,0.9303296703296704,SFS,3,"(4, 5, 7)",1
12,0.750954659375712,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
13,0.96,SFS,2,"(4, 5)",1
14,0.6873669467787116,SFS,4,"(0, 2, 4, 7)",5
15,0.30372044241037377,SFS,1,"(2,)",4
16,0.6564690211749035,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
17,0.6138461538461539,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
18,0.6767732267732267,SFS,3,"(0, 2, 4)",7
19,0.8217717086834734,SFS,3,"(4, 5, 7)",3
20,0.5731868131868132,SFS,6,"(0, 2, 4, 5, 6, 7)",7
