loop,f1_score_3,SFS,num selected features,feature idx,n_neighbors
1,0.49181181181181177,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",7
2,0.558369928616608,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",4
3,0.5546209610046622,SFS,4,"(1, 2, 5, 6)",6
4,0.3725,SFS,1,"(0,)",9
5,0.484746763570293,SFS,6,"(0, 1, 2, 3, 5, 7)",9
6,0.47733251104943986,SFS,1,"(5,)",7
7,0.3744295489456779,SFS,1,"(2,)",2
8,0.49272212094792744,SFS,3,"(0, 3, 5)",9
9,0.558369928616608,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",4
10,0.8729855585028,SFS,2,"(1, 5)",6
11,0.5581099763357827,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
12,0.6007584385406147,SFS,3,"(1, 5, 6)",7
13,0.6488073788073788,SFS,4,"(1, 2, 5, 6)",2
14,0.5425610948191593,SFS,6,"(0, 2, 4, 5, 6, 7)",5
15,0.5425610948191593,SFS,6,"(0, 2, 4, 5, 6, 7)",5
16,0.5294623655913978,SFS,5,"(0, 2, 4, 6, 7)",5
17,0.5282224958949098,SFS,5,"(1, 2, 5, 6, 7)",3
18,0.6104170339464458,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",1
19,0.558369928616608,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",4
20,0.5508399933399933,SFS,6,"(1, 2, 3, 4, 5, 6)",6
