loop,recall_17,SFS,num selected features,feature idx,n_neighbors
1,0.9714285714285715,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
2,0.9857142857142858,SFS,3,"(0, 4, 7)",1
3,0.9857142857142858,SFS,3,"(0, 4, 7)",1
4,0.6285714285714286,SFS,1,"(7,)",2
5,0.6285714285714286,SFS,1,"(7,)",2
6,0.8714285714285716,SFS,1,"(7,)",7
7,1.0,SFS,3,"(4, 5, 7)",5
8,1.0,SFS,2,"(4, 7)",6
9,0.7571428571428572,SFS,1,"(7,)",1
10,0.9714285714285715,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",6
11,0.9857142857142858,SFS,6,"(0, 3, 4, 5, 6, 7)",1
12,1.0,SFS,4,"(0, 3, 4, 7)",9
13,1.0,SFS,5,"(0, 3, 4, 5, 7)",6
14,1.0,SFS,6,"(0, 2, 3, 4, 5, 7)",6
15,0.9857142857142858,SFS,4,"(3, 4, 5, 7)",4
16,0.9571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",2
17,0.9714285714285715,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
18,0.9714285714285715,SFS,6,"(0, 2, 3, 4, 5, 7)",3
19,1.0,SFS,2,"(4, 7)",6
20,1.0,SFS,3,"(4, 5, 7)",6
