loop,precision_7,SFS,num selected features,feature idx,n_neighbors
1,0.5371168305378832,SFS,6,"(0, 1, 2, 3, 5, 6)",1
2,0.4723809523809524,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",2
3,0.6865800865800866,SFS,3,"(1, 5, 6)",5
4,0.8431746031746032,SFS,2,"(1, 5)",7
5,0.44009379509379504,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",4
6,0.6563025210084035,SFS,4,"(1, 2, 5, 6)",1
7,0.6452680652680652,SFS,3,"(1, 2, 5)",2
8,0.639465811965812,SFS,3,"(1, 2, 5)",3
9,0.46152337858220216,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",3
10,0.4612554112554113,SFS,6,"(0, 1, 2, 3, 5, 7)",8
11,0.452995337995338,SFS,5,"(1, 3, 4, 5, 6)",6
12,0.4524386724386725,SFS,4,"(1, 5, 6, 7)",9
13,0.37926767676767675,SFS,1,"(5,)",7
14,0.3323076923076923,SFS,1,"(2,)",3
15,0.44009379509379504,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",4
16,0.5697258297258297,SFS,3,"(1, 5, 6)",6
17,0.4584615384615384,SFS,6,"(1, 2, 3, 4, 5, 6)",7
18,0.8431746031746032,SFS,2,"(1, 5)",7
19,0.5728492422610071,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
20,0.5123809523809524,SFS,6,"(1, 3, 4, 5, 6, 7)",4
