loop,recall_13,SFS,num selected features,feature idx,n_neighbors
1,1.0,SBS,5,"(0, 1, 2, 3, 5)",2
2,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",5
3,1.0,SFS,4,"(0, 1, 2, 6)",4
4,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",6
5,1.0,SBS,7,"(0, 1, 2, 3, 5, 6, 7)",2
6,1.0,SBS,7,"(0, 1, 2, 3, 4, 5, 6)",6
7,1.0,SBS,4,"(0, 1, 2, 3)",5
8,1.0,SFS,2,"(0, 6)",7
9,0.9142857142857144,SFS,1,"(6,)",7
10,1.0,SBS,2,"(0, 3)",2
11,1.0,SBS,4,"(0, 1, 2, 3)",7
12,1.0,SFS,3,"(0, 5, 6)",3
13,1.0,SBS,5,"(0, 1, 2, 3, 6)",4
14,0.8714285714285713,SFS,1,"(6,)",5
15,0.37142857142857144,SBS,1,"(0,)",8
16,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
17,0.29999999999999993,SBS,1,"(0,)",7
18,0.21428571428571427,SBS,1,"(0,)",5
19,1.0,SBS,5,"(0, 1, 2, 3, 5)",2
20,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
