loop,recall_9,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
2,1.0,SFS,5,"(0, 1, 2, 4, 6)",7
3,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
4,1.0,SFS,5,"(0, 1, 4, 5, 6)",9
5,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
6,1.0,SFS,4,"(0, 4, 5, 6)",9
7,1.0,SFS,5,"(0, 1, 2, 4, 6)",7
8,1.0,SFS,4,"(0, 4, 5, 6)",3
9,1.0,SFS,2,"(4, 6)",8
10,1.0,SFS,3,"(4, 5, 6)",3
11,1.0,SFS,3,"(1, 2, 6)",1
12,1.0,SFS,4,"(0, 1, 4, 6)",7
13,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
14,1.0,SFS,4,"(0, 4, 5, 6)",9
15,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",6
16,1.0,SFS,6,"(0, 1, 2, 4, 5, 6)",3
17,1.0,SFS,5,"(0, 1, 2, 4, 6)",5
18,0.5857142857142856,SFS,1,"(6,)",3
19,1.0,SFS,3,"(0, 4, 6)",5
20,0.9857142857142858,SFS,2,"(2, 6)",1
