loop,f1_score_6,SFS,num selected features,feature idx,n_neighbors
1,0.6617559503076744,SBS,4,"(0, 4, 5, 7)",7
2,0.6468523430592397,SFS,5,"(0, 2, 4, 6, 7)",6
3,0.28511488511488514,SBS,1,"(0,)",9
4,0.7912169312169313,SFS,2,"(4, 6)",6
5,0.7912169312169313,SBS,2,"(4, 6)",6
6,0.7357595048629533,SBS,3,"(0, 4, 7)",3
7,0.6543341965380945,SBS,3,"(4, 5, 7)",8
8,0.6636763596223866,SFS,3,"(0, 4, 6)",8
9,0.6480449945967188,SFS,6,"(0, 2, 3, 4, 5, 6)",9
10,0.3967437457741717,SFS,1,"(6,)",5
11,0.6308302068302069,SBS,2,"(0, 4)",9
12,0.6546952409021375,SBS,5,"(0, 2, 3, 4, 6)",9
13,0.6494431494431494,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",5
14,0.6299796499796501,SBS,6,"(0, 2, 4, 5, 6, 7)",8
15,0.4323467438457951,SFS,1,"(6,)",8
16,0.7262470862470862,SBS,3,"(0, 4, 7)",4
17,0.2317610513739546,SBS,1,"(4,)",4
18,0.45244398003018693,SBS,1,"(6,)",6
19,0.6636763596223866,SFS,3,"(0, 4, 6)",8
20,0.6603717948717949,SBS,2,"(0, 4)",1
