loop,recall_1,SFS,num selected features,feature idx,n_neighbors
1,0.9,SFS,2,"(0, 7)",5
2,0.9,SFS,5,"(0, 1, 3, 5, 7)",6
3,0.9285714285714286,SFS,2,"(0, 7)",3
4,0.8714285714285713,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",6
5,1.0,SFS,1,"(7,)",8
6,0.9428571428571428,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",2
7,1.0,SFS,2,"(3, 7)",4
8,0.9,SFS,6,"(0, 1, 3, 5, 6, 7)",4
9,0.9428571428571428,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",2
10,1.0,SFS,2,"(1, 7)",2
11,0.9,SFS,3,"(0, 1, 7)",6
12,0.8857142857142858,SFS,3,"(1, 2, 7)",9
13,0.9,SFS,6,"(0, 1, 3, 5, 6, 7)",7
14,1.0,SFS,1,"(7,)",4
15,0.8714285714285716,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",9
16,0.9285714285714286,SFS,3,"(0, 1, 7)",3
17,0.9,SFS,4,"(0, 1, 2, 7)",5
18,1.0,SFS,1,"(7,)",3
19,0.9,SFS,2,"(0, 7)",8
20,1.0,SFS,1,"(7,)",4
