loop,f1_score_14,SFS,num selected features,feature idx,n_neighbors
1,0.3399549673743222,SFS,1,"(4,)",4
2,0.7674422129594543,SFS,2,"(4, 5)",3
3,0.3485605642863708,SFS,1,"(4,)",5
4,0.7548571428571428,SBS,5,"(0, 2, 4, 6, 7)",9
5,0.3800529689072514,SFS,1,"(4,)",6
6,0.8634738186462325,SBS,4,"(0, 3, 5, 6)",1
7,0.7921367521367522,SBS,3,"(0, 4, 5)",4
8,0.8682357234081373,SBS,3,"(3, 5, 6)",1
9,0.7806568632655588,SFS,3,"(0, 4, 5)",6
10,0.7944444444444445,SBS,6,"(0, 1, 2, 4, 5, 6)",5
11,0.7975238095238095,SBS,6,"(0, 1, 2, 4, 5, 6)",7
12,0.23866666666666664,SBS,1,"(5,)",3
13,0.8135325670498084,SFS,5,"(0, 2, 4, 5, 6)",4
14,0.7974043281389609,SFS,3,"(0, 4, 5)",2
15,0.8331983571983572,SBS,7,"(0, 1, 2, 3, 5, 6, 7)",3
16,0.3683470169677066,SFS,1,"(4,)",8
17,0.8135325670498084,SBS,6,"(0, 1, 2, 4, 5, 6)",4
18,0.7875238095238095,SFS,4,"(0, 4, 5, 6)",8
19,0.660895400895401,SBS,2,"(4, 7)",9
20,0.7152230378317335,SBS,7,"(0, 1, 2, 3, 4, 6, 7)",8
