loop,f1_score_macro,SFS,num selected features,feature idx,n_neighbors
1,0.8113562821458986,SFS,5,"(0, 4, 5, 6, 7)",2
2,0.8170393058353195,SFS,6,"(0, 2, 3, 4, 5, 6)",3
3,0.7144928184605484,SFS,2,"(0, 4)",8
4,0.7328171601598116,SFS,2,"(0, 4)",5
5,0.7953691569367773,SFS,3,"(0, 4, 5)",2
6,0.7223365497428575,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",9
7,0.7953691569367773,SFS,3,"(0, 4, 5)",2
8,0.7384858090917396,SFS,2,"(0, 4)",3
9,0.7666032726400142,SFS,5,"(0, 2, 4, 6, 7)",6
10,0.8394759037114907,SFS,4,"(0, 4, 5, 6)",1
11,0.835137665493626,SFS,6,"(0, 2, 4, 5, 6, 7)",1
12,0.7666032726400142,SFS,5,"(0, 2, 4, 6, 7)",6
13,0.7381937172609944,SFS,2,"(0, 4)",4
14,0.40591442565102376,SFS,1,"(0,)",6
15,0.7381937172609944,SFS,2,"(0, 4)",4
16,0.8370454480159651,SFS,5,"(0, 4, 5, 6, 7)",1
17,0.8149508170714912,SFS,5,"(0, 3, 4, 5, 6)",3
18,0.7918554789895623,SFS,3,"(0, 4, 5)",4
19,0.7211469745133813,SFS,2,"(0, 4)",6
20,0.8055188002747162,SFS,4,"(0, 4, 5, 6)",2
