loop,precision_6,SFS,num selected features,feature idx,n_neighbors
1,0.43238095238095237,SFS,1,"(6,)",9
2,0.6692156862745098,SFS,5,"(0, 3, 4, 5, 6)",9
3,0.690995670995671,SFS,4,"(0, 3, 4, 6)",7
4,0.8251881451881452,SFS,3,"(0, 4, 5)",3
5,0.68,SFS,6,"(0, 2, 3, 4, 5, 7)",8
6,0.7873626373626375,SFS,4,"(2, 4, 6, 7)",4
7,0.6873792873792873,SFS,5,"(0, 2, 3, 4, 7)",8
8,0.7182883782883783,SFS,5,"(0, 2, 4, 5, 7)",5
9,0.7504212454212454,SFS,3,"(0, 4, 6)",7
10,0.7466666666666667,SFS,2,"(4, 6)",7
11,0.68,SFS,6,"(0, 2, 3, 4, 5, 7)",8
12,0.39,SFS,1,"(6,)",4
13,0.827994227994228,SFS,3,"(4, 6, 7)",4
14,0.6638561438561438,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
15,0.690995670995671,SFS,4,"(0, 3, 4, 6)",7
16,0.6515677786266021,SFS,4,"(0, 3, 4, 6)",9
17,0.4228535353535353,SFS,1,"(4,)",5
18,0.7579670329670329,SFS,6,"(0, 2, 4, 5, 6, 7)",4
19,0.39,SFS,1,"(6,)",4
20,0.8621428571428572,SFS,3,"(3, 4, 6)",1
