loop,precision_6,SFS,num selected features,feature idx,n_neighbors
1,0.6790659340659342,SFS,3,"(2, 4, 7)",9
2,0.31235088440970793,SFS,1,"(2,)",9
3,0.7538461538461538,SFS,3,"(0, 4, 6)",7
4,0.6858333333333333,SFS,5,"(0, 2, 4, 5, 7)",9
5,0.7187878787878788,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
6,0.667006327006327,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
7,0.6790659340659342,SFS,3,"(2, 4, 7)",9
8,0.6030303030303029,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",6
9,0.6959706959706959,SFS,5,"(0, 2, 3, 4, 6)",7
10,0.42150432900432905,SFS,1,"(6,)",4
11,0.6936134453781513,SFS,5,"(0, 3, 4, 6, 7)",5
12,0.6477722277722278,SFS,2,"(2, 7)",9
13,0.747008547008547,SFS,5,"(0, 4, 5, 6, 7)",3
14,0.8519696969696969,SFS,5,"(0, 2, 4, 6, 7)",2
15,0.6730805142569849,SFS,6,"(0, 2, 3, 4, 6, 7)",5
16,0.8373684210526318,SFS,3,"(0, 4, 6)",3
17,0.31235088440970793,SFS,1,"(2,)",9
18,0.6936134453781513,SFS,5,"(0, 3, 4, 6, 7)",5
19,0.7991666666666666,SFS,2,"(4, 6)",5
20,0.667006327006327,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
