loop,precision_12,SFS,num selected features,feature idx,n_neighbors
1,0.9349999999999999,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",8
2,0.9733333333333334,SFS,3,"(0, 1, 3)",5
3,0.6749494949494949,SFS,1,"(0,)",5
4,0.9733333333333334,SFS,6,"(0, 1, 2, 3, 6, 7)",3
5,0.9733333333333334,SFS,5,"(0, 1, 3, 6, 7)",5
6,0.96,SFS,3,"(0, 3, 6)",8
7,0.9733333333333334,SFS,5,"(0, 1, 3, 6, 7)",4
8,0.9733333333333334,SFS,6,"(0, 1, 2, 3, 6, 7)",4
9,0.6893028024606972,SFS,1,"(0,)",7
10,0.9483333333333335,SFS,2,"(0, 3)",7
11,1.0,SFS,3,"(0, 3, 6)",2
12,0.96,SFS,6,"(0, 1, 2, 3, 6, 7)",5
13,0.6992127153891861,SFS,1,"(0,)",3
14,0.9733333333333334,SFS,5,"(0, 1, 3, 6, 7)",5
15,0.6519607843137255,SFS,1,"(2,)",6
16,0.9733333333333334,SFS,2,"(0, 3)",1
17,0.7260683760683759,SFS,1,"(0,)",9
18,0.9733333333333334,SFS,3,"(0, 1, 3)",5
19,0.96,SFS,6,"(0, 1, 2, 3, 6, 7)",5
20,0.9733333333333334,SFS,4,"(0, 3, 6, 7)",7
