loop,precision_1,SFS,num selected features,feature idx,n_neighbors
1,0.9714285714285715,SFS,4,"(0, 1, 2, 7)",4
2,0.9857142857142858,SFS,5,"(0, 1, 2, 3, 6)",8
3,0.9571428571428573,SFS,2,"(0, 7)",5
4,0.9857142857142858,SFS,3,"(1, 2, 5)",9
5,0.496551724137931,SFS,1,"(7,)",6
6,0.9723809523809525,SFS,2,"(0, 3)",8
7,0.8762745098039215,SFS,5,"(1, 3, 5, 6, 7)",2
8,0.9314285714285715,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
9,0.48654761904761906,SFS,1,"(3,)",3
10,0.9714285714285715,SFS,5,"(0, 1, 2, 6, 7)",6
11,0.9714285714285715,SFS,4,"(0, 1, 3, 7)",5
12,0.8762745098039215,SFS,5,"(1, 3, 5, 6, 7)",2
13,0.8762745098039215,SFS,5,"(1, 3, 5, 6, 7)",2
14,0.48654761904761906,SFS,1,"(3,)",3
15,0.9714285714285715,SFS,6,"(0, 1, 2, 3, 4, 7)",4
16,0.9714285714285715,SFS,2,"(0, 7)",4
17,0.9857142857142858,SFS,4,"(0, 1, 2, 3)",8
18,0.4931034482758621,SFS,1,"(7,)",5
19,0.9714285714285715,SFS,2,"(0, 7)",4
20,0.5161218321320623,SFS,1,"(2,)",7
