loop,recall_12,SFS,num selected features,feature idx,n_neighbors
1,1.0,SBS,2,"(0, 3)",5
2,1.0,SFS,2,"(0, 3)",9
3,0.41428571428571426,SBS,1,"(3,)",2
4,1.0,SFS,2,"(0, 3)",8
5,1.0,SFS,3,"(0, 1, 3)",3
6,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",1
7,0.6285714285714284,SBS,1,"(0,)",6
8,1.0,SBS,4,"(0, 1, 2, 3)",7
9,1.0,SBS,4,"(0, 1, 2, 3)",4
10,1.0,SFS,5,"(0, 1, 2, 3, 4)",1
11,1.0,SBS,2,"(0, 3)",3
12,1.0,SBS,6,"(0, 1, 2, 3, 4, 5)",5
13,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",7
14,1.0,SBS,6,"(0, 1, 2, 3, 4, 5)",3
15,1.0,SFS,3,"(0, 2, 3)",4
16,1.0,SFS,5,"(0, 1, 2, 3, 4)",3
17,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
18,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",9
19,1.0,SFS,5,"(0, 1, 2, 3, 4)",5
20,1.0,SBS,3,"(0, 1, 3)",2
