loop,recall_5,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,4,"(0, 1, 2, 7)",3
2,0.9571428571428571,SFS,3,"(0, 1, 7)",1
3,1.0,SFS,2,"(0, 7)",4
4,1.0,SFS,4,"(0, 1, 2, 7)",7
5,1.0,SFS,1,"(7,)",3
6,1.0,SFS,3,"(0, 1, 7)",9
7,0.9571428571428571,SFS,3,"(0, 1, 7)",1
8,0.9571428571428571,SFS,4,"(0, 1, 2, 7)",1
9,0.9428571428571428,SFS,6,"(0, 1, 2, 3, 4, 7)",2
10,0.9571428571428571,SFS,5,"(0, 1, 2, 3, 7)",1
11,1.0,SFS,1,"(7,)",6
12,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",9
13,0.9571428571428571,SFS,2,"(0, 7)",1
14,1.0,SFS,4,"(0, 1, 2, 7)",5
15,0.9428571428571428,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",2
16,1.0,SFS,2,"(0, 7)",3
17,1.0,SFS,1,"(7,)",6
18,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
19,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
20,1.0,SFS,6,"(0, 1, 2, 3, 4, 7)",8
