loop,precision_5,SFS,num selected features,feature idx,n_neighbors
1,0.9263725490196079,SBS,4,"(0, 1, 2, 3)",7
2,0.9366666666666668,SFS,2,"(0, 5)",8
3,0.9263725490196079,SFS,6,"(0, 1, 2, 3, 5, 6)",8
4,0.9263725490196079,SBS,4,"(0, 1, 2, 3)",4
5,0.9298573975044564,SBS,7,"(0, 1, 2, 3, 4, 5, 6)",2
6,0.9263725490196079,SBS,2,"(0, 3)",3
7,0.9366666666666668,SFS,2,"(0, 5)",7
8,0.9263725490196079,SFS,2,"(0, 3)",3
9,0.9263725490196079,SFS,6,"(0, 1, 2, 3, 5, 6)",4
10,0.9298573975044564,SFS,2,"(2, 3)",2
11,0.9263725490196079,SBS,2,"(0, 3)",5
12,0.9263725490196079,SFS,5,"(0, 1, 2, 3, 4)",5
13,0.9263725490196079,SFS,6,"(0, 1, 2, 3, 5, 6)",8
14,0.9263725490196079,SBS,5,"(0, 1, 2, 3, 4)",8
15,0.5606203007518797,SBS,1,"(0,)",7
16,0.9366666666666668,SFS,3,"(0, 1, 5)",8
17,0.9263725490196079,SBS,3,"(0, 1, 3)",3
18,0.9263725490196079,SBS,6,"(0, 1, 2, 3, 4, 5)",6
19,0.9263725490196079,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
20,0.9263725490196079,SBS,4,"(0, 1, 2, 3)",8
