loop,precision_16,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,2,"(1, 5)",8
2,1.0,SFS,2,"(2, 5)",3
3,0.9566666666666667,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
4,0.9690476190476192,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
5,1.0,SFS,2,"(2, 5)",3
6,0.9451515151515151,SFS,5,"(0, 1, 2, 5, 6)",8
7,0.8365567765567766,SFS,1,"(4,)",2
8,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",2
9,0.9833333333333332,SFS,3,"(1, 2, 5)",3
10,1.0,SFS,4,"(0, 3, 4, 5)",2
11,0.8854312354312354,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",7
12,0.9618181818181817,SFS,4,"(1, 2, 5, 6)",4
13,1.0,SFS,4,"(0, 3, 4, 5)",2
14,0.9492307692307692,SFS,4,"(1, 2, 5, 6)",3
15,0.7042191142191143,SFS,1,"(5,)",8
16,0.9690476190476192,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
17,1.0,SFS,2,"(1, 5)",8
18,0.8942307692307692,SFS,6,"(1, 2, 3, 4, 5, 6)",9
19,1.0,SFS,2,"(1, 5)",4
20,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",1
