loop,recall_15,SFS,num selected features,feature idx,n_neighbors
1,0.9142857142857144,SFS,6,"(0, 1, 2, 4, 5, 7)",2
2,0.24285714285714288,SFS,1,"(6,)",3
3,0.7714285714285715,SFS,2,"(2, 4)",5
4,0.9285714285714286,SFS,4,"(0, 3, 4, 6)",3
5,0.8428571428571429,SFS,4,"(0, 4, 6, 7)",9
6,0.8571428571428571,SFS,2,"(4, 6)",9
7,0.8857142857142858,SFS,4,"(0, 2, 4, 7)",6
8,0.7714285714285715,SFS,2,"(2, 4)",5
9,0.9,SFS,4,"(0, 4, 6, 7)",4
10,0.8857142857142858,SFS,3,"(2, 4, 6)",8
11,0.2857142857142857,SFS,1,"(6,)",8
12,0.9,SFS,4,"(0, 4, 6, 7)",4
13,0.9285714285714286,SFS,6,"(0, 1, 2, 3, 4, 6)",3
14,0.9285714285714286,SFS,5,"(1, 2, 3, 4, 6)",1
15,0.8857142857142858,SFS,4,"(0, 4, 6, 7)",7
16,0.27142857142857146,SFS,1,"(6,)",9
17,0.8142857142857143,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",9
18,0.9285714285714286,SFS,5,"(0, 1, 3, 4, 6)",3
19,0.8857142857142858,SFS,2,"(4, 6)",4
20,0.7142857142857143,SFS,2,"(1, 4)",2
