loop,precision_9,SFS,num selected features,feature idx,n_neighbors
1,0.8349673202614379,SFS,5,"(1, 2, 4, 5, 6)",3
2,0.8349673202614379,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
3,0.7520743034055728,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
4,0.8349673202614379,SFS,6,"(0, 1, 2, 4, 5, 6)",3
5,0.8349673202614379,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
6,0.7723357413140695,SFS,5,"(1, 2, 4, 5, 6)",9
7,0.8349673202614379,SFS,5,"(1, 2, 4, 5, 6)",3
8,0.5613585434173669,SFS,1,"(6,)",4
9,0.7787409700722394,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
10,0.589842933124667,SFS,1,"(6,)",6
11,0.7734795321637427,SFS,3,"(4, 5, 6)",8
12,0.7426754385964912,SFS,2,"(4, 6)",7
13,0.6973182957393483,SFS,2,"(4, 6)",8
14,0.8084795321637428,SFS,5,"(0, 1, 2, 4, 6)",4
15,0.8402777777777779,SFS,2,"(4, 6)",1
16,0.8073357413140695,SFS,4,"(1, 2, 4, 6)",4
17,0.7520743034055728,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
18,0.7981854145166839,SFS,6,"(0, 1, 2, 4, 5, 6)",4
19,0.8870868347338936,SFS,6,"(0, 1, 2, 4, 5, 6)",1
20,0.8348692810457516,SFS,3,"(1, 4, 6)",2
