loop,recall_4,SFS,num selected features,feature idx,n_neighbors
1,0.9,SFS,3,"(0, 4, 6)",3
2,0.9428571428571428,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",6
3,0.9142857142857144,SFS,6,"(0, 1, 2, 4, 6, 7)",4
4,0.9142857142857143,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",4
5,0.7,SFS,1,"(0,)",1
6,0.9,SFS,3,"(0, 3, 4)",7
7,0.9,SFS,3,"(0, 3, 4)",7
8,0.9142857142857144,SFS,5,"(0, 1, 4, 6, 7)",3
9,0.7,SFS,1,"(0,)",1
10,0.9428571428571428,SFS,6,"(0, 1, 2, 3, 4, 7)",6
11,0.9428571428571428,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",6
12,0.9428571428571428,SFS,6,"(0, 1, 3, 4, 5, 7)",9
13,0.9142857142857144,SFS,3,"(0, 4, 6)",2
14,0.8857142857142858,SFS,4,"(0, 1, 2, 4)",1
15,0.9428571428571428,SFS,6,"(0, 1, 2, 4, 6, 7)",2
16,0.8428571428571429,SFS,2,"(0, 2)",6
17,0.7,SFS,1,"(0,)",1
18,0.9,SFS,3,"(0, 3, 4)",7
19,0.9,SFS,3,"(0, 3, 4)",7
20,0.9428571428571428,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",2
