loop,recall_8,SFS,num selected features,feature idx,n_neighbors
1,0.8714285714285713,SBS,6,"(0, 1, 2, 4, 5, 6)",1
2,0.8571428571428573,SFS,3,"(0, 4, 6)",4
3,0.7428571428571429,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",2
4,0.9571428571428573,SBS,2,"(4, 5)",9
5,0.7571428571428571,SBS,7,"(0, 1, 3, 4, 5, 6, 7)",7
6,0.8857142857142858,SFS,4,"(0, 2, 4, 6)",3
7,0.8285714285714286,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",3
8,0.6857142857142857,SFS,6,"(0, 1, 2, 3, 4, 6)",6
9,0.7571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
10,0.6857142857142857,SBS,1,"(0,)",6
11,0.7857142857142858,SFS,2,"(0, 4)",7
12,0.8142857142857143,SBS,2,"(4, 6)",2
13,0.7,SFS,5,"(0, 1, 2, 4, 6)",6
14,0.7142857142857143,SBS,1,"(0,)",4
15,0.9428571428571428,SFS,3,"(0, 2, 4)",1
16,0.7285714285714286,SBS,4,"(0, 1, 3, 4)",6
17,0.7142857142857143,SFS,2,"(0, 4)",8
18,0.8571428571428571,SFS,6,"(0, 1, 2, 4, 5, 6)",3
19,0.8428571428571429,SFS,2,"(0, 4)",5
20,0.9714285714285715,SBS,2,"(4, 5)",7
