loop,f1_score_14,SFS,num selected features,feature idx,n_neighbors
1,0.3835190990363404,SFS,1,"(4,)",8
2,0.9062571888658846,SFS,3,"(4, 5, 6)",3
3,0.3835190990363404,SFS,1,"(4,)",8
4,0.7805728088336784,SFS,5,"(1, 2, 4, 5, 6)",8
5,0.7789206349206349,SFS,5,"(0, 1, 4, 5, 6)",9
6,0.8458583284670242,SFS,5,"(0, 1, 2, 4, 5)",4
7,0.7863678189765146,SFS,3,"(2, 4, 5)",8
8,0.3607640437801229,SFS,1,"(7,)",6
9,0.7911915670536359,SFS,4,"(0, 2, 4, 7)",5
10,0.7386039886039886,SFS,3,"(0, 4, 7)",6
11,0.7409979296066252,SFS,2,"(4, 5)",8
12,0.8458583284670242,SFS,5,"(0, 1, 2, 4, 5)",4
13,0.8117125275745967,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",5
14,0.2882624621755056,SFS,1,"(4,)",3
15,0.8866363521535934,SFS,5,"(0, 1, 4, 5, 6)",3
16,0.8786998442170855,SFS,4,"(1, 2, 4, 5)",2
17,0.88913207864932,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",1
18,0.7863678189765146,SFS,3,"(2, 4, 5)",8
19,0.7805728088336784,SFS,5,"(1, 2, 4, 5, 6)",8
20,0.736896123366888,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",9
