loop,f1_score_11,SFS,num selected features,feature idx,n_neighbors
1,0.8333077316948284,SBS,6,"(0, 1, 2, 4, 5, 6)",6
2,0.7832057597574839,SFS,3,"(0, 1, 6)",7
3,0.8050873486913531,SFS,3,"(1, 2, 6)",6
4,0.8210948673128874,SFS,4,"(2, 3, 4, 6)",1
5,0.8236879160266257,SBS,3,"(0, 4, 5)",1
6,0.8529761904761906,SFS,5,"(0, 1, 2, 4, 6)",3
7,0.8333077316948284,SFS,6,"(0, 1, 2, 4, 5, 6)",6
8,0.8050873486913531,SFS,3,"(1, 2, 6)",6
9,0.8067295774303561,SBS,6,"(0, 1, 3, 4, 5, 7)",9
10,0.8509890766342381,SBS,5,"(0, 1, 3, 4, 5)",5
11,0.47796471544635005,SFS,1,"(6,)",8
12,0.8438480145487933,SBS,4,"(0, 1, 4, 6)",4
13,0.8210948673128874,SFS,5,"(1, 2, 3, 4, 6)",1
14,0.7722153209109731,SBS,3,"(0, 4, 7)",8
15,0.40408668917289614,SFS,1,"(2,)",6
16,0.7838461538461537,SFS,5,"(0, 1, 2, 4, 6)",6
17,0.2421818181818182,SBS,1,"(4,)",5
18,0.7185098039215686,SFS,2,"(0, 6)",7
19,0.7782857142857142,SFS,3,"(0, 1, 6)",8
20,0.7664038231780167,SFS,2,"(2, 4)",2
