loop,precision_17,SFS,num selected features,feature idx,n_neighbors
1,0.9857142857142858,SFS,5,"(0, 1, 2, 4, 7)",3
2,0.9866666666666667,SFS,6,"(0, 2, 4, 5, 6, 7)",5
3,0.9866666666666667,SFS,5,"(0, 2, 4, 5, 7)",4
4,0.975,SFS,2,"(4, 7)",3
5,0.9866666666666667,SFS,5,"(0, 1, 2, 4, 7)",1
6,0.9616666666666667,SFS,2,"(5, 7)",5
7,0.9866666666666667,SFS,6,"(0, 2, 4, 5, 6, 7)",5
8,0.9866666666666667,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",1
9,0.8486055121349239,SFS,1,"(7,)",8
10,0.9857142857142858,SFS,6,"(1, 3, 4, 5, 6, 7)",9
11,0.9857142857142858,SFS,5,"(0, 1, 3, 4, 7)",2
12,0.9857142857142858,SFS,6,"(0, 1, 2, 3, 4, 7)",2
13,0.8523184658478776,SFS,1,"(7,)",9
14,0.9866666666666667,SFS,3,"(4, 5, 7)",4
15,0.9846153846153847,SFS,5,"(0, 1, 4, 5, 7)",8
16,0.9857142857142858,SFS,3,"(1, 3, 7)",2
17,0.9866666666666667,SFS,3,"(4, 5, 7)",6
18,0.9703296703296704,SFS,6,"(0, 2, 3, 4, 5, 7)",7
19,0.9857142857142858,SFS,4,"(1, 3, 4, 7)",9
20,0.9857142857142858,SFS,5,"(1, 3, 4, 5, 7)",9
