loop,f1_score_12,SFS,num selected features,feature idx,n_neighbors
1,0.993103448275862,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
2,1.0,SFS,5,"(0, 1, 2, 3, 6)",1
3,0.9797701149425289,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",4
4,0.9866666666666667,SFS,5,"(0, 1, 2, 3, 6)",3
5,0.9628004179728318,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",8
6,0.9797701149425289,SFS,5,"(0, 1, 2, 3, 6)",5
7,0.9737486095661847,SFS,2,"(0, 3)",6
8,1.0,SFS,3,"(0, 1, 3)",1
9,0.5529233246624552,SFS,1,"(0,)",3
10,0.9681034482758621,SFS,6,"(0, 1, 2, 3, 6, 7)",9
11,0.993103448275862,SFS,3,"(2, 3, 6)",4
12,0.993103448275862,SFS,3,"(2, 3, 6)",4
13,1.0,SFS,6,"(0, 1, 2, 3, 5, 6)",1
14,0.9628004179728318,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",6
15,1.0,SFS,6,"(0, 1, 2, 3, 5, 6)",1
16,0.993103448275862,SFS,4,"(0, 1, 3, 6)",3
17,0.9797701149425289,SFS,5,"(0, 1, 3, 6, 7)",6
18,0.9681034482758621,SFS,5,"(0, 1, 2, 3, 6)",9
19,0.9681034482758621,SFS,3,"(0, 2, 3)",9
20,1.0,SFS,3,"(0, 1, 3)",1
