loop,recall_6,SFS,num selected features,feature idx,n_neighbors
1,0.5285714285714286,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",2
2,0.7571428571428571,SFS,5,"(3, 4, 5, 6, 7)",1
3,0.7142857142857143,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
4,0.6285714285714284,SFS,4,"(0, 2, 4, 5)",7
5,0.6285714285714287,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",9
6,0.6428571428571429,SFS,5,"(0, 1, 2, 3, 4)",3
7,0.5714285714285714,SBS,5,"(0, 3, 4, 5, 7)",2
8,0.3714285714285714,SBS,1,"(5,)",2
9,0.48571428571428577,SBS,5,"(0, 2, 3, 4, 6)",8
10,0.22857142857142856,SBS,1,"(4,)",7
11,0.4142857142857143,SFS,1,"(6,)",9
12,0.7857142857142858,SFS,4,"(4, 5, 6, 7)",1
13,0.5714285714285714,SFS,4,"(0, 2, 3, 4)",4
14,0.48571428571428577,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",4
15,0.6714285714285714,SBS,3,"(4, 5, 6)",9
16,0.6142857142857143,SBS,3,"(0, 2, 4)",4
17,0.8142857142857143,SBS,2,"(3, 4)",3
18,0.7142857142857143,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",1
19,0.7142857142857143,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",1
20,0.48571428571428577,SBS,5,"(0, 2, 3, 4, 6)",8
