loop,precision_14,SFS,num selected features,feature idx,n_neighbors
1,0.6881562881562882,SFS,2,"(2, 6)",9
2,0.880448717948718,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
3,0.8247727272727273,SFS,4,"(2, 4, 5, 6)",4
4,0.8484615384615385,SFS,3,"(3, 4, 5)",3
5,0.8006593406593406,SFS,4,"(1, 2, 6, 7)",2
6,0.4522222222222222,SFS,1,"(6,)",8
7,0.7666666666666666,SFS,3,"(0, 2, 6)",7
8,0.8308333333333333,SFS,4,"(2, 4, 5, 6)",6
9,0.8108225108225108,SFS,3,"(2, 4, 6)",4
10,0.8331043956043956,SFS,6,"(0, 1, 2, 4, 5, 6)",4
11,0.7866666666666666,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",7
12,0.7624242424242424,SFS,3,"(0, 4, 6)",8
13,0.8966666666666667,SFS,6,"(0, 1, 2, 3, 6, 7)",2
14,0.7666666666666667,SFS,2,"(2, 6)",4
15,0.7675,SFS,2,"(5, 6)",1
16,0.842107843137255,SFS,5,"(0, 1, 4, 5, 6)",1
17,0.8109090909090909,SFS,3,"(2, 4, 6)",6
18,0.8850840336134453,SFS,6,"(0, 1, 2, 3, 4, 5)",3
19,0.3821428571428571,SFS,1,"(5,)",3
20,0.7902097902097902,SFS,3,"(2, 4, 6)",5
