loop,recall_5,SFS,num selected features,feature idx,n_neighbors
1,0.7714285714285715,SFS,1,"(2,)",6
2,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
3,0.8571428571428571,SFS,2,"(0, 2)",2
4,1.0,SFS,4,"(0, 1, 2, 3)",8
5,1.0,SFS,5,"(0, 1, 2, 3, 4)",7
6,0.7714285714285715,SFS,1,"(2,)",6
7,1.0,SFS,5,"(0, 1, 2, 3, 4)",9
8,1.0,SFS,3,"(0, 1, 3)",4
9,0.9142857142857143,SFS,5,"(0, 1, 2, 3, 7)",1
10,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
11,0.8571428571428571,SFS,2,"(0, 2)",2
12,1.0,SFS,2,"(0, 3)",8
13,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",7
14,1.0,SFS,4,"(0, 1, 2, 3)",6
15,0.6285714285714287,SFS,1,"(6,)",3
16,0.8285714285714286,SFS,4,"(0, 1, 2, 3)",2
17,1.0,SFS,4,"(0, 1, 2, 3)",4
18,1.0,SFS,2,"(0, 3)",8
19,1.0,SFS,3,"(0, 2, 3)",6
20,0.8,SFS,1,"(7,)",1
