loop,f1_score_11,SFS,num selected features,feature idx,n_neighbors
1,0.7911870525988173,SFS,2,"(1, 2)",5
2,0.4166583441526016,SFS,1,"(2,)",9
3,0.7528149001536099,SFS,2,"(0, 1)",4
4,0.8158730158730159,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",2
5,0.8356564986737401,SFS,6,"(0, 1, 2, 3, 6, 7)",4
6,0.42535895454136224,SFS,1,"(2,)",8
7,0.7998387096774193,SFS,5,"(0, 1, 2, 3, 6)",6
8,0.8551144845034788,SFS,6,"(0, 1, 2, 3, 4, 6)",1
9,0.8571378352829966,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",3
10,0.8407108649600307,SFS,3,"(0, 3, 4)",1
11,0.843342549923195,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",5
12,0.8203685458857872,SFS,2,"(1, 2)",9
13,0.3691457586618877,SFS,1,"(2,)",5
14,0.3355264476056902,SFS,1,"(2,)",2
15,0.8407108649600307,SFS,3,"(0, 3, 4)",1
16,0.7785040448983719,SFS,2,"(0, 4)",1
17,0.7972209450830141,SFS,2,"(1, 2)",8
18,0.8539237600861627,SFS,3,"(1, 2, 6)",9
19,0.8192818389340129,SFS,3,"(1, 2, 6)",2
20,0.823452380952381,SFS,5,"(0, 1, 2, 3, 6)",4
