loop,f1_score_14,SFS,num selected features,feature idx,n_neighbors
1,0.7282356902356902,SFS,4,"(0, 4, 6, 7)",8
2,0.6690589410589411,SFS,2,"(4, 7)",8
3,0.7829832775919733,SFS,3,"(2, 4, 5)",4
4,0.7368966588966589,SFS,2,"(5, 7)",2
5,0.7415042173662865,SFS,2,"(4, 5)",3
6,0.7452238325281804,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",5
7,0.7256645962732919,SFS,3,"(1, 4, 7)",6
8,0.7159730818351508,SFS,2,"(5, 7)",5
9,0.7179195804195804,SFS,3,"(4, 6, 7)",9
10,0.7291428571428572,SFS,6,"(0, 1, 3, 4, 5, 7)",5
11,0.7256645962732919,SFS,3,"(1, 4, 7)",6
12,0.7341517741517742,SFS,5,"(0, 4, 5, 6, 7)",8
13,0.7849549071618038,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
14,0.7687301587301587,SFS,3,"(3, 5, 7)",2
15,0.7856239316239316,SFS,6,"(0, 1, 2, 4, 5, 6)",4
16,0.7924761904761904,SFS,4,"(2, 3, 5, 7)",2
17,0.7312946312946312,SFS,6,"(0, 1, 4, 5, 6, 7)",9
18,0.7236902356902357,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",8
19,0.7528829431438128,SFS,4,"(0, 1, 4, 7)",6
20,0.3381324557795146,SFS,1,"(7,)",7
