loop,f1_score_2,SFS,num selected features,feature idx,n_neighbors
1,0.5875017569751916,SFS,4,"(0, 2, 3, 4)",6
2,0.48598395630653696,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",6
3,0.807013966135212,SFS,4,"(0, 2, 4, 6)",2
4,0.48964216986529363,SFS,5,"(1, 3, 4, 5, 7)",9
5,0.5290228051518374,SFS,5,"(1, 3, 4, 5, 7)",8
6,0.7013212593857756,SFS,3,"(4, 5, 7)",5
7,0.48598395630653696,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",6
8,0.5292330524714333,SFS,4,"(0, 2, 4, 7)",7
9,0.561802371541502,SFS,4,"(3, 4, 5, 7)",5
10,0.424513986013986,SFS,6,"(1, 2, 3, 4, 5, 7)",9
11,0.8237437371058061,SFS,4,"(3, 4, 5, 7)",1
12,0.561802371541502,SFS,4,"(3, 4, 5, 7)",5
13,0.41426637878250777,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",9
14,0.8886587301587301,SFS,3,"(4, 5, 7)",1
15,0.39655172413793105,SFS,1,"(4,)",9
16,0.9367664519388658,SFS,2,"(4, 5)",1
17,0.47810280042538106,SFS,6,"(1, 2, 3, 4, 5, 7)",8
18,0.7428318424143852,SFS,3,"(0, 4, 6)",4
19,0.7157450076804915,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
20,0.5348842629376556,SFS,6,"(0, 2, 3, 4, 6, 7)",6
