loop,precision_macro,SFS,num selected features,feature idx,n_neighbors
1,0.8365449216701266,SFS,3,"(0, 3, 4)",3
2,0.8266126373274079,SFS,3,"(0, 3, 4)",2
3,0.3981194638543027,SFS,1,"(0,)",3
4,0.7921158084782552,SFS,5,"(0, 3, 4, 5, 6)",8
5,0.7932774071539681,SFS,6,"(0, 3, 4, 5, 6, 7)",6
6,0.832973490238287,SFS,5,"(0, 3, 4, 5, 6)",2
7,0.7921158084782552,SFS,5,"(0, 3, 4, 5, 6)",8
8,0.7941846678483903,SFS,5,"(0, 3, 4, 5, 7)",7
9,0.855329465754707,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
10,0.7941846678483903,SFS,5,"(0, 3, 4, 5, 7)",7
11,0.8558015484586237,SFS,3,"(0, 4, 7)",1
12,0.7980335168989331,SFS,6,"(0, 3, 4, 5, 6, 7)",7
13,0.7727916780602995,SFS,2,"(0, 4)",1
14,0.818148471098298,SFS,4,"(0, 3, 4, 5)",5
15,0.7248502165593771,SFS,2,"(0, 4)",8
16,0.8079471488734274,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
17,0.7980335168989331,SFS,6,"(0, 3, 4, 5, 6, 7)",7
18,0.8365449216701266,SFS,3,"(0, 3, 4)",3
19,0.7413036382363463,SFS,2,"(0, 4)",7
20,0.770003227665311,SFS,2,"(0, 4)",4
