loop,precision_macro,SFS,num selected features,feature idx,n_neighbors
1,0.39263125702481017,SFS,1,"(0,)",1
2,0.775661591388235,SBS,6,"(0, 2, 3, 4, 5, 7)",8
3,0.8535218347588591,SBS,4,"(0, 3, 4, 5)",1
4,0.771940670697312,SBS,2,"(4, 5)",9
5,0.7766101209440309,SBS,6,"(0, 2, 3, 4, 5, 6)",6
6,0.7219554078532406,SFS,2,"(0, 4)",6
7,0.8027500199603139,SBS,2,"(4, 5)",4
8,0.351958881009018,SBS,1,"(5,)",5
9,0.7895499584290333,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",5
10,0.8016653732151819,SFS,3,"(0, 4, 7)",3
11,0.7812539929768121,SBS,5,"(0, 3, 4, 5, 7)",8
12,0.8135606937428099,SBS,4,"(0, 3, 4, 5)",3
13,0.783528507703066,SFS,5,"(0, 2, 3, 4, 5)",7
14,0.7219554078532406,SFS,2,"(0, 4)",6
15,0.805478276352434,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",3
16,0.805478276352434,SBS,7,"(0, 1, 2, 3, 4, 5, 7)",3
17,0.8137508594866485,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",2
18,0.8016653732151819,SFS,3,"(0, 4, 7)",3
19,0.3002731746308741,SBS,1,"(5,)",2
20,0.8112135996322966,SFS,3,"(0, 3, 4)",2
