loop,f1_score_17,SFS,num selected features,feature idx,n_neighbors
1,0.9560664112388251,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",8
2,0.9782886334610474,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",1
3,0.8748308503592153,SFS,1,"(7,)",7
4,0.9549857549857549,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
5,0.9856960408684546,SFS,5,"(0, 3, 4, 5, 7)",4
6,0.993103448275862,SFS,3,"(4, 5, 7)",4
7,0.9491881043605183,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",9
8,0.9862068965517242,SFS,2,"(4, 7)",8
9,0.9782886334610474,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",1
10,0.9782886334610472,SFS,6,"(0, 2, 3, 4, 5, 7)",2
11,0.9714103265827404,SFS,6,"(0, 2, 3, 4, 5, 7)",9
12,0.9862068965517242,SFS,4,"(0, 3, 4, 7)",1
13,0.9797701149425286,SFS,2,"(4, 7)",9
14,0.993103448275862,SFS,3,"(4, 5, 7)",5
15,0.993103448275862,SFS,5,"(0, 3, 4, 5, 7)",1
16,0.7616282051282053,SFS,1,"(7,)",1
17,0.9782886334610474,SFS,6,"(0, 2, 3, 4, 5, 7)",4
18,0.9787994891443168,SFS,6,"(0, 2, 3, 4, 5, 7)",8
19,0.9856960408684546,SFS,5,"(0, 3, 4, 5, 7)",5
20,0.993103448275862,SFS,5,"(0, 3, 4, 5, 7)",1
