loop,recall_2,SFS,num selected features,feature idx,n_neighbors
1,0.8571428571428571,SFS,2,"(4, 6)",6
2,0.8,SBS,3,"(0, 4, 6)",5
3,0.8571428571428571,SFS,3,"(2, 4, 6)",1
4,0.7142857142857142,SBS,4,"(3, 4, 5, 7)",3
5,0.7428571428571428,SFS,3,"(0, 4, 6)",7
6,0.6857142857142857,SBS,5,"(0, 2, 4, 5, 6)",8
7,0.6000000000000001,SBS,5,"(0, 2, 3, 4, 5)",7
8,0.7571428571428571,SFS,5,"(0, 1, 2, 4, 6)",1
9,0.6857142857142857,SFS,5,"(0, 2, 4, 6, 7)",8
10,0.5714285714285714,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",9
11,0.5285714285714286,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
12,0.3142857142857143,SBS,1,"(7,)",3
13,0.6857142857142857,SBS,4,"(0, 2, 4, 6)",9
14,0.8,SFS,2,"(4, 6)",9
15,0.7857142857142858,SBS,3,"(0, 4, 6)",8
16,0.6857142857142857,SFS,5,"(0, 2, 3, 4, 6)",3
17,0.6,SBS,1,"(4,)",7
18,0.6,SBS,5,"(0, 1, 2, 4, 6)",9
19,0.8714285714285716,SFS,2,"(4, 6)",4
20,0.5714285714285714,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",7
