loop,recall_9,SFS,num selected features,feature idx,n_neighbors
1,1.0,SFS,3,"(0, 4, 6)",5
2,1.0,SFS,5,"(0, 1, 2, 4, 6)",8
3,1.0,SFS,2,"(4, 6)",6
4,1.0,SFS,5,"(0, 1, 2, 4, 6)",3
5,1.0,SFS,4,"(0, 1, 4, 6)",3
6,1.0,SFS,6,"(0, 1, 2, 3, 4, 6)",5
7,0.9714285714285715,SFS,4,"(0, 1, 4, 6)",1
8,1.0,SFS,4,"(0, 1, 4, 6)",7
9,0.9714285714285715,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",7
10,0.7142857142857143,SFS,1,"(6,)",8
11,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
12,1.0,SFS,3,"(0, 1, 6)",2
13,1.0,SFS,3,"(0, 4, 6)",9
14,0.5857142857142857,SFS,1,"(6,)",2
15,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
16,0.7142857142857143,SFS,1,"(6,)",8
17,1.0,SFS,5,"(0, 1, 2, 4, 6)",5
18,0.9714285714285715,SFS,4,"(0, 1, 4, 6)",1
19,1.0,SFS,4,"(0, 1, 4, 6)",5
20,1.0,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
