loop,precision_5,SFS,num selected features,feature idx,n_neighbors
1,0.9349999999999999,SFS,5,"(0, 1, 2, 3, 4)",6
2,0.5151702786377708,SFS,1,"(0,)",4
3,0.48816309548574993,SFS,1,"(0,)",2
4,0.9252747252747253,SFS,3,"(0, 1, 3)",2
5,0.9349999999999999,SFS,2,"(0, 3)",6
6,0.9349999999999999,SFS,5,"(0, 1, 2, 3, 5)",8
7,0.9303296703296704,SFS,4,"(0, 1, 2, 3)",1
8,0.9349999999999999,SFS,4,"(0, 1, 2, 3)",9
9,0.9349999999999999,SFS,4,"(0, 1, 2, 3)",9
10,0.5151702786377708,SFS,1,"(0,)",4
11,0.9349999999999999,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
12,0.9303296703296704,SFS,6,"(0, 1, 2, 3, 4, 5)",1
13,0.5151702786377708,SFS,1,"(0,)",4
14,0.5097619047619049,SFS,1,"(0,)",1
15,0.9349999999999999,SFS,6,"(0, 1, 2, 3, 4, 5)",3
16,0.9303296703296704,SFS,6,"(0, 1, 2, 3, 4, 5)",1
17,0.9349999999999999,SFS,6,"(0, 1, 2, 3, 4, 5)",5
18,0.9349999999999999,SFS,2,"(0, 3)",8
19,0.9252747252747253,SFS,3,"(0, 1, 3)",2
20,0.9252747252747253,SFS,5,"(0, 1, 2, 3, 4)",2
