loop,precision_micro,SFS,num selected features,feature idx,n_neighbors
1,0.7941176470588235,SFS,4,"(0, 3, 4, 5)",4
2,0.7420168067226891,SFS,2,"(4, 6)",7
3,0.8394957983193277,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
4,0.8428571428571429,SFS,3,"(0, 4, 5)",1
5,0.7621848739495798,SFS,3,"(0, 4, 5)",8
6,0.7327731092436975,SFS,2,"(0, 4)",6
7,0.7899159663865547,SFS,6,"(0, 3, 4, 5, 6, 7)",4
8,0.7907563025210085,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
9,0.823529411764706,SFS,4,"(0, 3, 4, 5)",3
10,0.7487394957983193,SFS,4,"(0, 2, 4, 5)",8
11,0.7899159663865547,SFS,6,"(0, 3, 4, 5, 6, 7)",4
12,0.7142857142857143,SFS,2,"(0, 4)",9
13,0.8117647058823529,SFS,3,"(0, 3, 4)",3
14,0.3974789915966387,SFS,1,"(0,)",8
15,0.8117647058823529,SFS,3,"(0, 3, 4)",3
16,0.8428571428571429,SFS,3,"(0, 4, 5)",1
17,0.7773109243697478,SFS,5,"(0, 3, 4, 5, 7)",6
18,0.7697478991596638,SFS,3,"(4, 5, 6)",7
19,0.823529411764706,SFS,4,"(0, 3, 4, 5)",3
20,0.8042016806722689,SFS,5,"(0, 3, 4, 5, 6)",2
