loop,precision_14,SFS,num selected features,feature idx,n_neighbors
1,0.8805128205128205,SFS,5,"(0, 1, 4, 5, 6)",1
2,0.7924242424242425,SFS,4,"(2, 3, 4, 5)",5
3,0.8676282051282052,SFS,5,"(0, 2, 4, 5, 6)",3
4,0.8222222222222222,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",4
5,0.8363636363636365,SFS,2,"(4, 5)",2
6,0.8676282051282052,SFS,5,"(0, 2, 4, 5, 6)",3
7,0.7431509666803784,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",7
8,0.7558730158730158,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",8
9,0.9205128205128205,SFS,4,"(0, 2, 4, 5)",2
10,0.324004884004884,SFS,1,"(1,)",6
11,0.8288988788988789,SFS,5,"(0, 1, 2, 4, 7)",4
12,0.851025641025641,SFS,3,"(2, 4, 5)",3
13,0.8209090909090909,SFS,5,"(0, 1, 2, 4, 6)",7
14,0.8044522144522144,SFS,6,"(0, 1, 2, 4, 5, 6)",6
15,0.2799145299145299,SFS,1,"(4,)",2
16,0.7823076923076924,SFS,6,"(0, 1, 2, 4, 5, 6)",7
17,0.9205128205128205,SFS,4,"(0, 2, 4, 5)",2
18,0.8943822843822844,SFS,3,"(0, 4, 5)",1
19,0.38,SFS,1,"(2,)",9
20,0.6845238095238095,SFS,2,"(1, 2)",9
