loop,recall_4,SFS,num selected features,feature idx,n_neighbors
1,0.9,SFS,6,"(0, 3, 4, 5, 6, 7)",6
2,0.8142857142857143,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",7
3,0.8714285714285716,SFS,6,"(0, 1, 4, 5, 6, 7)",1
4,0.8571428571428571,SFS,3,"(0, 4, 6)",3
5,1.0,SBS,2,"(4, 5)",9
6,0.9,SBS,6,"(0, 3, 4, 5, 6, 7)",6
7,0.8571428571428571,SFS,5,"(0, 3, 4, 5, 7)",7
8,0.8714285714285716,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",6
9,0.8571428571428573,SBS,7,"(0, 1, 2, 4, 5, 6, 7)",9
10,0.7428571428571429,SFS,1,"(0,)",2
11,0.8142857142857143,SBS,4,"(1, 3, 6, 7)",3
12,0.8857142857142858,SFS,5,"(0, 1, 4, 5, 7)",8
13,0.8571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
14,0.8857142857142858,SBS,2,"(6, 7)",3
15,0.8571428571428573,SBS,5,"(1, 4, 5, 6, 7)",9
16,1.0,SBS,2,"(4, 5)",5
17,0.9428571428571428,SFS,4,"(0, 4, 5, 7)",1
18,1.0,SBS,2,"(4, 5)",2
19,0.8571428571428571,SFS,5,"(0, 3, 4, 5, 7)",7
20,0.8571428571428571,SFS,5,"(0, 3, 4, 5, 7)",7
