loop,recall_2,SFS,num selected features,feature idx,n_neighbors
1,0.8,SFS,6,"(0, 1, 3, 4, 6, 7)",4
2,0.8571428571428571,SFS,5,"(1, 3, 4, 5, 6)",2
3,0.6571428571428571,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",3
4,0.4,SFS,1,"(4,)",5
5,0.6,SFS,1,"(4,)",3
6,0.42857142857142855,SFS,1,"(0,)",7
7,0.6285714285714286,SFS,3,"(0, 2, 4)",9
8,0.8857142857142856,SFS,2,"(4, 6)",3
9,0.6,SFS,5,"(0, 1, 2, 4, 6)",7
10,0.27142857142857146,SFS,1,"(2,)",1
11,0.7285714285714285,SFS,5,"(0, 2, 3, 4, 6)",3
12,0.6428571428571428,SFS,6,"(0, 2, 3, 4, 6, 7)",8
13,0.8428571428571429,SFS,3,"(4, 5, 7)",6
14,0.7142857142857142,SFS,2,"(0, 4)",9
15,0.8428571428571429,SFS,6,"(0, 1, 3, 4, 5, 6)",2
16,0.42857142857142855,SFS,1,"(0,)",4
17,0.42857142857142855,SFS,1,"(0,)",7
18,0.6571428571428571,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",3
19,0.7285714285714285,SFS,5,"(0, 2, 3, 4, 6)",3
20,0.7285714285714285,SFS,2,"(2, 4)",1
