loop,recall_2,SFS,num selected features,feature idx,n_neighbors
1,0.8142857142857143,SFS,2,"(4, 5)",8
2,0.7142857142857142,SFS,4,"(3, 4, 5, 7)",8
3,0.8714285714285713,SFS,3,"(4, 5, 7)",1
4,0.7142857142857142,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",4
5,0.6142857142857143,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",6
6,0.6571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",1
7,0.9571428571428571,SFS,3,"(4, 5, 7)",2
8,0.6857142857142857,SFS,4,"(1, 4, 5, 7)",3
9,0.5428571428571429,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
10,0.7,SFS,5,"(1, 3, 4, 5, 7)",5
11,0.6428571428571429,SFS,5,"(1, 3, 4, 5, 7)",7
12,0.7285714285714284,SFS,4,"(3, 4, 5, 7)",6
13,0.7714285714285715,SFS,4,"(1, 4, 5, 7)",1
14,0.7,SFS,6,"(0, 1, 3, 4, 5, 7)",4
15,0.6428571428571429,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",3
16,0.9571428571428571,SFS,2,"(4, 5)",2
17,0.7571428571428571,SFS,3,"(4, 5, 7)",3
18,0.5428571428571429,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
19,0.32857142857142857,SFS,1,"(5,)",7
20,0.6714285714285715,SFS,6,"(0, 1, 2, 4, 5, 7)",1
