loop,f1_score_16,SFS,num selected features,feature idx,n_neighbors
1,0.5262887989203778,SFS,1,"(5,)",4
2,0.5262887989203778,SFS,1,"(5,)",4
3,0.7594526546250685,SFS,5,"(1, 2, 4, 5, 6)",9
4,0.7719999999999999,SFS,3,"(1, 2, 5)",6
5,0.8283627075351212,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",2
6,0.7374314574314574,SFS,6,"(1, 2, 3, 4, 5, 6)",9
7,0.8473804713804715,SFS,3,"(1, 2, 5)",3
8,0.7259149546106067,SFS,6,"(1, 2, 4, 5, 6, 7)",7
9,0.8745696040868456,SFS,2,"(1, 5)",9
10,0.9112592592592593,SFS,2,"(1, 5)",2
11,0.8976117216117215,SFS,2,"(1, 5)",5
12,0.7495137046861184,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
13,0.933729716338412,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",1
14,0.8371371237458194,SFS,3,"(1, 2, 5)",5
15,0.7374314574314574,SFS,6,"(1, 2, 3, 4, 5, 6)",9
16,0.7001831501831501,SFS,4,"(1, 2, 4, 5)",7
17,0.8473804713804715,SFS,3,"(1, 2, 5)",3
18,0.820998389694042,SFS,5,"(1, 2, 4, 5, 6)",3
19,0.7583216783216784,SFS,5,"(1, 2, 4, 5, 6)",6
20,0.7387359156474599,SFS,5,"(1, 2, 4, 5, 6)",4
