loop,precision_13,SFS,num selected features,feature idx,n_neighbors
1,0.9733333333333334,SFS,4,"(1, 3, 5, 6)",8
2,0.96,SFS,5,"(1, 2, 3, 5, 6)",7
3,0.9866666666666667,SFS,3,"(5, 6, 7)",2
4,0.6911589880707528,SFS,1,"(6,)",1
5,0.96,SFS,2,"(6, 7)",6
6,0.6400549199084669,SFS,1,"(6,)",6
7,0.9350000000000002,SFS,6,"(0, 1, 2, 3, 5, 6)",7
8,0.9466666666666667,SFS,5,"(1, 2, 3, 5, 6)",9
9,0.96,SFS,5,"(0, 1, 3, 5, 6)",4
10,0.96,SFS,2,"(3, 6)",5
11,0.6364034135201183,SFS,1,"(6,)",9
12,0.96,SFS,5,"(1, 2, 3, 5, 6)",7
13,0.96,SFS,3,"(3, 5, 6)",9
14,0.96,SFS,2,"(3, 6)",3
15,0.6407798342008868,SFS,1,"(6,)",5
16,0.96,SFS,2,"(3, 6)",3
17,0.9866666666666667,SFS,6,"(0, 1, 3, 5, 6, 7)",2
18,0.9483333333333335,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",6
19,0.96,SFS,2,"(3, 6)",4
20,0.9733333333333334,SFS,3,"(3, 5, 6)",8
