loop,recall_17,SFS,num selected features,feature idx,n_neighbors
1,0.9428571428571428,SFS,6,"(0, 2, 3, 4, 5, 7)",2
2,1.0,SFS,4,"(0, 4, 5, 7)",7
3,1.0,SFS,5,"(0, 3, 4, 5, 7)",8
4,1.0,SFS,2,"(4, 7)",6
5,0.9714285714285715,SFS,4,"(0, 3, 4, 7)",2
6,1.0,SFS,2,"(4, 7)",7
7,0.9571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",4
8,1.0,SFS,2,"(4, 7)",5
9,0.9571428571428571,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",4
10,1.0,SFS,2,"(4, 7)",3
11,0.8714285714285713,SFS,1,"(7,)",3
12,0.9571428571428571,SFS,6,"(0, 2, 3, 4, 5, 7)",3
13,0.9857142857142858,SFS,2,"(4, 7)",1
14,0.9714285714285715,SFS,4,"(0, 3, 4, 7)",2
15,1.0,SFS,2,"(4, 7)",5
16,1.0,SFS,4,"(0, 4, 5, 7)",5
17,0.9142857142857144,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",9
18,0.8714285714285713,SFS,1,"(7,)",3
19,0.9714285714285715,SFS,6,"(0, 2, 3, 4, 5, 7)",4
20,1.0,SFS,4,"(0, 4, 5, 7)",5
