loop,f1_score_4,SFS,num selected features,feature idx,n_neighbors
1,0.8046280378872147,SFS,6,"(0, 2, 4, 5, 6, 7)",4
2,0.8131012749927559,SFS,3,"(0, 2, 4)",6
3,0.587374108240568,SFS,1,"(0,)",2
4,0.8267757826156046,SFS,5,"(0, 4, 5, 6, 7)",7
5,0.8929882409025902,SFS,3,"(0, 4, 5)",5
6,0.8598875855327469,SFS,5,"(0, 2, 4, 5, 7)",2
7,0.6046401239949627,SFS,1,"(0,)",3
8,0.846512539184953,SFS,5,"(0, 1, 2, 4, 5)",3
9,0.6375238095238095,SFS,1,"(0,)",5
10,0.7453469735720375,SFS,2,"(0, 4)",4
11,0.6942857142857143,SFS,2,"(0, 4)",8
12,0.8551295210166178,SFS,4,"(0, 4, 5, 7)",4
13,0.888370014301605,SFS,6,"(0, 2, 4, 5, 6, 7)",1
14,0.830012670049312,SFS,5,"(0, 2, 4, 5, 7)",4
15,0.6046401239949627,SFS,1,"(0,)",3
16,0.8385752688172042,SFS,5,"(0, 4, 5, 6, 7)",5
17,0.8293103448275863,SFS,4,"(0, 4, 5, 7)",8
18,0.7871056039970847,SFS,5,"(0, 3, 4, 5, 7)",8
19,0.8267757826156046,SFS,5,"(0, 4, 5, 6, 7)",7
20,0.8053423236015004,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
