loop,recall_micro,SFS,num selected features,feature idx,n_neighbors
1,0.7915966386554621,SFS,4,"(0, 3, 4, 5)",5
2,0.784873949579832,SFS,6,"(0, 2, 3, 4, 5, 7)",5
3,0.4159663865546218,SFS,1,"(0,)",5
4,0.7983193277310925,SFS,3,"(0, 4, 5)",2
5,0.7546218487394958,SFS,3,"(0, 4, 5)",8
6,0.8092436974789916,SFS,4,"(0, 4, 5, 6)",3
7,0.7436974789915967,SFS,6,"(0, 2, 3, 4, 5, 7)",7
8,0.7991596638655463,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
9,0.43697478991596633,SFS,1,"(0,)",9
10,0.8042016806722689,SFS,6,"(0, 3, 4, 5, 6, 7)",3
11,0.8016806722689076,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
12,0.7369747899159664,SFS,6,"(0, 2, 4, 5, 6, 7)",8
13,0.7630252100840336,SFS,4,"(0, 3, 4, 7)",7
14,0.8050420168067227,SFS,3,"(0, 4, 5)",3
15,0.8042016806722689,SFS,6,"(0, 3, 4, 5, 6, 7)",3
16,0.7327731092436975,SFS,2,"(0, 4)",4
17,0.7378151260504202,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
18,0.73109243697479,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",8
19,0.43697478991596633,SFS,1,"(0,)",9
20,0.8092436974789916,SFS,4,"(0, 4, 5, 6)",3
