loop,recall_7,SFS,num selected features,feature idx,n_neighbors
1,0.34285714285714286,SBS,5,"(1, 2, 3, 5, 7)",6
2,0.24285714285714283,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",2
3,0.6857142857142857,SBS,3,"(1, 3, 5)",3
4,0.34285714285714286,SBS,6,"(0, 1, 3, 5, 6, 7)",7
5,0.35714285714285715,SBS,5,"(0, 2, 3, 6, 7)",9
6,0.3571428571428571,SBS,7,"(0, 1, 2, 3, 5, 6, 7)",9
7,0.8571428571428571,SFS,2,"(1, 5)",7
8,0.2571428571428571,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",6
9,0.3714285714285714,SBS,6,"(1, 2, 3, 4, 5, 7)",4
10,0.5428571428571429,SFS,4,"(1, 3, 5, 7)",5
11,0.7142857142857143,SBS,6,"(1, 2, 3, 5, 6, 7)",1
12,0.6714285714285715,SBS,3,"(1, 5, 7)",5
13,0.2571428571428571,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",6
14,0.32857142857142857,SBS,1,"(5,)",7
15,0.9285714285714286,SBS,2,"(1, 5)",3
16,0.8571428571428571,SBS,2,"(1, 5)",7
17,0.5428571428571429,SFS,3,"(1, 5, 7)",4
18,0.2714285714285714,SFS,6,"(0, 1, 3, 4, 5, 7)",6
19,0.5285714285714286,SBS,6,"(1, 2, 3, 4, 5, 7)",3
20,0.41428571428571426,SFS,1,"(5,)",1
