loop,recall_macro,SFS,num selected features,feature idx,n_neighbors
1,0.4084033613445378,SFS,1,"(0,)",5
2,0.40588235294117647,SFS,1,"(0,)",4
3,0.8243697478991597,SFS,4,"(0, 3, 4, 5)",2
4,0.8159663865546218,SFS,3,"(0, 4, 5)",2
5,0.7655462184873949,SFS,4,"(0, 3, 4, 5)",7
6,0.7781512605042017,SFS,6,"(0, 2, 3, 4, 5, 6)",5
7,0.7394957983193278,SFS,2,"(0, 4)",3
8,0.8369747899159664,SFS,3,"(0, 3, 4)",1
9,0.776470588235294,SFS,3,"(0, 3, 4)",6
10,0.7336134453781513,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
11,0.7672268907563025,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
12,0.7638655462184873,SFS,3,"(0, 4, 5)",8
13,0.7193277310924371,SFS,2,"(0, 4)",8
14,0.7789915966386554,SFS,6,"(0, 2, 3, 4, 5, 6)",4
15,0.8403361344537815,SFS,4,"(0, 3, 4, 5)",1
16,0.8168067226890756,SFS,6,"(0, 2, 3, 4, 5, 7)",2
17,0.8243697478991597,SFS,4,"(0, 3, 4, 5)",2
18,0.40588235294117647,SFS,1,"(0,)",4
19,0.35462184873949576,SFS,1,"(0,)",2
20,0.7781512605042017,SFS,6,"(0, 2, 3, 4, 5, 6)",5
