loop,recall_14,SFS,num selected features,feature idx,n_neighbors
1,0.7571428571428571,SBS,3,"(4, 5, 6)",5
2,0.8142857142857143,SFS,6,"(0, 1, 2, 4, 5, 6)",3
3,0.6714285714285715,SBS,5,"(1, 2, 4, 5, 6)",9
4,0.7285714285714285,SBS,3,"(4, 5, 6)",7
5,0.7571428571428571,SFS,6,"(0, 1, 2, 4, 5, 6)",4
6,0.6571428571428571,SBS,6,"(0, 1, 2, 4, 5, 6)",8
7,0.9142857142857143,SFS,4,"(0, 2, 4, 5)",1
8,0.7999999999999999,SBS,7,"(0, 1, 2, 4, 5, 6, 7)",3
9,0.41428571428571426,SFS,1,"(4,)",5
10,0.7571428571428571,SFS,6,"(0, 1, 2, 4, 5, 6)",4
11,0.8285714285714285,SFS,4,"(0, 1, 4, 5)",3
12,0.19999999999999998,SFS,1,"(5,)",2
13,0.7285714285714284,SBS,5,"(0, 1, 4, 5, 6)",7
14,0.6571428571428571,SBS,6,"(0, 1, 2, 4, 5, 6)",8
15,0.6571428571428573,SFS,5,"(1, 4, 5, 6, 7)",9
16,0.6571428571428571,SBS,3,"(0, 4, 5)",8
17,0.2857142857142857,SBS,1,"(4,)",3
18,0.9142857142857143,SFS,4,"(0, 2, 4, 5)",1
19,0.4,SFS,1,"(7,)",8
20,0.3571428571428571,SBS,1,"(4,)",4
